1000
766	160	568	184	539	76	
431	201	721	605	169	743	
759	108	738	798	656	60	
318	94	492	512	407	108	
295	393	501	554	687	202	
507	509	611	234	606	480	
790	133	49	773	435	96	
123	483	27	519	618	609	
777	325	161	445	183	798	
269	185	698	332	245	770	
359	117	784	479	633	741	
80	563	523	557	156	206	
95	408	91	22	673	614	
716	589	518	487	467	768	
782	149	718	460	488	590	
229	749	213	621	736	36	
164	100	498	324	573	792	
371	569	665	601	556	725	
78	157	171	312	73	312	
663	28	148	377	61	539	
375	356	616	701	282	167	
560	577	233	220	425	743	
240	602	92	728	325	792	
434	755	166	0	237	149	
631	587	81	292	142	606	
95	376	650	385	131	775	
93	312	323	651	426	384	
440	242	41	743	665	481	
168	264	402	454	364	2	
436	153	661	437	614	269	
671	728	25	217	740	793	
217	766	415	242	703	565	
716	164	643	663	780	339	
463	327	740	574	143	799	
516	665	644	86	741	617	
184	139	460	219	140	49	
715	481	622	215	391	714	
198	659	756	605	494	362	
316	786	290	574	254	269	
781	245	723	376	355	98	
588	507	653	722	408	667	
159	85	450	652	134	326	
342	340	253	377	740	382	
158	641	765	56	245	699	
763	297	16	154	797	690	
339	239	783	640	553	469	
456	779	21	471	525	367	
421	127	275	740	136	699	
385	476	214	45	244	24	
174	272	349	391	349	739	
485	476	26	691	432	139	
399	73	383	65	689	332	
592	509	400	181	736	750	
42	46	16	138	538	133	
773	104	751	755	521	26	
663	451	752	523	410	161	
533	433	226	321	674	47	
504	585	590	106	746	796	
225	422	200	164	339	252	
47	379	563	794	733	406	
196	663	642	495	449	465	
279	109	192	69	713	626	
21	490	302	33	365	587	
312	458	123	767	647	403	
560	647	152	292	35	451	
539	559	112	273	3	475	
124	707	87	396	215	636	
517	368	26	327	182	136	
368	691	381	625	497	111	
360	174	74	606	697	116	
728	55	367	657	242	188	
605	762	327	469	60	432	
669	201	764	334	408	472	
85	210	699	599	93	165	
201	744	658	489	132	22	
86	350	439	10	27	401	
239	525	212	513	707	699	
331	687	469	256	337	737	
753	658	80	403	402	330	
412	668	36	256	712	632	
420	354	660	791	3	144	
196	129	73	695	364	452	
695	425	296	476	133	534	
168	541	458	457	489	608	
409	0	382	520	264	585	
13	624	685	278	694	307	
609	221	334	343	6	495	
138	630	549	83	599	747	
47	158	38	342	294	560	
100	427	52	366	360	221	
473	728	262	163	610	647	
64	581	52	485	380	709	
361	424	337	236	657	76	
539	784	121	588	526	511	
137	701	167	746	487	104	
285	529	154	705	375	199	
489	72	631	578	769	540	
756	321	373	471	517	122	
224	42	697	671	198	597	
612	716	728	195	308	112	
183	288	386	758	272	24	
579	495	293	686	126	797	
12	373	696	126	336	47	
171	51	117	287	309	492	
538	173	237	435	759	405	
432	657	486	460	25	224	
606	17	752	719	665	172	
377	171	312	262	493	624	
733	740	134	460	373	257	
83	140	633	422	459	486	
521	393	607	130	409	32	
360	581	136	768	0	379	
267	22	268	32	265	417	
119	524	159	394	122	409	
484	258	470	50	518	502	
772	729	691	529	580	469	
20	47	723	535	180	665	
408	71	126	65	156	304	
228	28	249	612	636	119	
587	493	741	663	740	562	
743	689	316	674	728	194	
133	799	411	109	92	778	
644	335	155	40	246	256	
652	462	525	681	376	654	
311	188	190	477	156	372	
799	544	511	170	501	435	
61	753	548	213	499	527	
233	692	124	472	687	592	
279	168	672	591	359	125	
376	380	244	303	694	701	
590	461	460	144	242	245	
533	384	678	144	326	10	
350	584	509	614	321	582	
406	373	357	620	61	326	
342	716	157	772	790	547	
599	576	351	182	270	54	
164	135	639	670	501	212	
527	338	737	460	380	375	
534	367	117	106	356	705	
358	712	639	618	107	186	
675	109	421	315	18	451	
683	263	505	755	248	545	
593	401	738	289	65	784	
779	601	0	293	144	771	
568	282	415	553	614	171	
389	752	190	96	421	129	
172	231	421	53	181	398	
515	765	572	186	388	44	
416	135	333	545	546	93	
651	372	677	235	588	412	
686	418	624	347	395	17	
570	167	48	472	161	406	
380	267	324	421	506	773	
474	581	708	742	262	419	
129	587	41	242	335	169	
786	310	60	197	272	464	
558	147	233	129	355	521	
547	285	338	190	671	590	
432	69	581	162	623	608	
667	658	513	259	143	303	
762	359	500	683	659	551	
457	705	75	26	180	323	
264	557	622	478	763	572	
152	172	354	45	236	502	
519	138	142	451	101	89	
737	161	490	345	726	367	
664	795	383	452	
